t, H, V, T, P
0.000e+00, -5.173755e+02,-1.251e+03, 2.723e+02, 0.000e+00
1.000e-02, -5.173757e+02,-1.248e+03, 2.714e+02, 0.000e+00
2.000e-02, -5.173760e+02,-1.240e+03, 2.684e+02, 0.000e+00
3.000e-02, -5.173766e+02,-1.226e+03, 2.632e+02, 0.000e+00
4.000e-02, -5.173772e+02,-1.206e+03, 2.557e+02, 0.000e+00
5.000e-02, -5.173778e+02,-1.178e+03, 2.455e+02, 0.000e+00
6.000e-02, -5.173781e+02,-1.143e+03, 2.325e+02, 0.000e+00
7.000e-02, -5.173777e+02,-1.101e+03, 2.169e+02, 0.000e+00
8.000e-02, -5.173763e+02,-1.053e+03, 1.991e+02, 0.000e+00
9.000e-02, -5.173738e+02,-1.002e+03, 1.801e+02, 0.000e+00
1.000e-01, -5.173708e+02,-9.525e+02, 1.616e+02, 0.000e+00
1.100e-01, -5.173682e+02,-9.090e+02, 1.455e+02, 0.000e+00
1.200e-01, -5.173669e+02,-8.758e+02, 1.331e+02, 0.000e+00
1.300e-01, -5.173669e+02,-8.553e+02, 1.255e+02, 0.000e+00
1.400e-01, -5.173681e+02,-8.473e+02, 1.225e+02, 0.000e+00
1.500e-01, -5.173700e+02,-8.499e+02, 1.235e+02, 0.000e+00
1.600e-01, -5.173720e+02,-8.601e+02, 1.273e+02, 0.000e+00
1.700e-01, -5.173736e+02,-8.744e+02, 1.326e+02, 0.000e+00
1.800e-01, -5.173748e+02,-8.900e+02, 1.384e+02, 0.000e+00
1.900e-01, -5.173754e+02,-9.046e+02, 1.438e+02, 0.000e+00
2.000e-01, -5.173756e+02,-9.169e+02, 1.484e+02, 0.000e+00
2.100e-01, -5.173755e+02,-9.262e+02, 1.519e+02, 0.000e+00
2.200e-01, -5.173751e+02,-9.326e+02, 1.542e+02, 0.000e+00
2.300e-01, -5.173747e+02,-9.363e+02, 1.556e+02, 0.000e+00
2.400e-01, -5.173743e+02,-9.378e+02, 1.561e+02, 0.000e+00
2.500e-01, -5.173741e+02,-9.376e+02, 1.561e+02, 0.000e+00
2.600e-01, -5.173739e+02,-9.361e+02, 1.555e+02, 0.000e+00
2.700e-01, -5.173737e+02,-9.336e+02, 1.546e+02, 0.000e+00
2.800e-01, -5.173734e+02,-9.304e+02, 1.534e+02, 0.000e+00
2.900e-01, -5.173730e+02,-9.269e+02, 1.521e+02, 0.000e+00
3.000e-01, -5.173724e+02,-9.240e+02, 1.510e+02, 0.000e+00
3.100e-01, -5.173720e+02,-9.223e+02, 1.504e+02, 0.000e+00
3.200e-01, -5.173719e+02,-9.225e+02, 1.505e+02, 0.000e+00
3.300e-01, -5.173721e+02,-9.247e+02, 1.513e+02, 0.000e+00
3.400e-01, -5.173726e+02,-9.283e+02, 1.526e+02, 0.000e+00
3.500e-01, -5.173731e+02,-9.327e+02, 1.543e+02, 0.000e+00
3.600e-01, -5.173735e+02,-9.368e+02, 1.558e+02, 0.000e+00
3.700e-01, -5.173736e+02,-9.401e+02, 1.570e+02, 0.000e+00
3.800e-01, -5.173736e+02,-9.421e+02, 1.577e+02, 0.000e+00
3.900e-01, -5.173734e+02,-9.427e+02, 1.580e+02, 0.000e+00
4.000e-01, -5.173733e+02,-9.422e+02, 1.578e+02, 0.000e+00
4.100e-01, -5.173732e+02,-9.405e+02, 1.572e+02, 0.000e+00
4.200e-01, -5.173730e+02,-9.380e+02, 1.562e+02, 0.000e+00
