t, H, V, T, P
0.000e+00, 9.200011e+02,-6.693e+02, 1.020e+03, 0.000e+00
1.000e-02, 9.200002e+02,-6.634e+02, 1.016e+03, 0.000e+00
2.000e-02, 9.199974e+02,-6.454e+02, 1.005e+03, 0.000e+00
3.000e-02, 9.199925e+02,-6.122e+02, 9.834e+02, 0.000e+00
4.000e-02, 9.199862e+02,-5.584e+02, 9.488e+02, 0.000e+00
5.000e-02, 9.199818e+02,-4.780e+02, 8.972e+02, 0.000e+00
6.000e-02, 9.199873e+02,-3.700e+02, 8.279e+02, 0.000e+00
7.000e-02, 9.200060e+02,-2.487e+02, 7.501e+02, 0.000e+00
8.000e-02, 9.200221e+02,-1.448e+02, 6.834e+02, 0.000e+00
9.000e-02, 9.200251e+02,-8.386e+01, 6.443e+02, 0.000e+00
1.000e-01, 9.200176e+02,-7.106e+01, 6.361e+02, 0.000e+00
1.100e-01, 9.200059e+02,-9.411e+01, 6.509e+02, 0.000e+00
1.200e-01, 9.199966e+02,-1.336e+02, 6.762e+02, 0.000e+00
1.300e-01, 9.199917e+02,-1.729e+02, 7.014e+02, 0.000e+00
1.400e-01, 9.199928e+02,-2.028e+02, 7.206e+02, 0.000e+00
1.500e-01, 9.199990e+02,-2.236e+02, 7.340e+02, 0.000e+00
1.600e-01, 9.200037e+02,-2.428e+02, 7.463e+02, 0.000e+00
1.700e-01, 9.200023e+02,-2.658e+02, 7.611e+02, 0.000e+00
1.800e-01, 9.199984e+02,-2.899e+02, 7.765e+02, 0.000e+00
1.900e-01, 9.199974e+02,-3.082e+02, 7.883e+02, 0.000e+00
2.000e-01, 9.199990e+02,-3.178e+02, 7.944e+02, 0.000e+00
2.100e-01, 9.200008e+02,-3.196e+02, 7.956e+02, 0.000e+00
2.200e-01, 9.200029e+02,-3.159e+02, 7.932e+02, 0.000e+00
2.300e-01, 9.200064e+02,-3.098e+02, 7.893e+02, 0.000e+00
2.400e-01, 9.200089e+02,-3.064e+02, 7.871e+02, 0.000e+00
2.500e-01, 9.200083e+02,-3.087e+02, 7.886e+02, 0.000e+00
2.600e-01, 9.200061e+02,-3.158e+02, 7.931e+02, 0.000e+00
2.700e-01, 9.200041e+02,-3.236e+02, 7.981e+02, 0.000e+00
2.800e-01, 9.200033e+02,-3.287e+02, 8.014e+02, 0.000e+00
2.900e-01, 9.200038e+02,-3.292e+02, 8.017e+02, 0.000e+00
3.000e-01, 9.200054e+02,-3.256e+02, 7.994e+02, 0.000e+00
3.100e-01, 9.200072e+02,-3.197e+02, 7.956e+02, 0.000e+00
3.200e-01, 9.200086e+02,-3.141e+02, 7.921e+02, 0.000e+00
3.300e-01, 9.200091e+02,-3.109e+02, 7.900e+02, 0.000e+00
3.400e-01, 9.200087e+02,-3.106e+02, 7.898e+02, 0.000e+00
3.500e-01, 9.200082e+02,-3.126e+02, 7.911e+02, 0.000e+00
3.600e-01, 9.200079e+02,-3.157e+02, 7.931e+02, 0.000e+00
3.700e-01, 9.200076e+02,-3.192e+02, 7.953e+02, 0.000e+00
3.800e-01, 9.200070e+02,-3.222e+02, 7.972e+02, 0.000e+00
3.900e-01, 9.200066e+02,-3.235e+02, 7.981e+02, 0.000e+00
