t, H, V, T, P
0.000e+00, -1.014962e+03,-1.251e+03, 8.754e+01, 0.000e+00
1.000e-02, -1.014962e+03,-1.250e+03, 8.726e+01, 0.000e+00
2.000e-02, -1.014962e+03,-1.247e+03, 8.635e+01, 0.000e+00
3.000e-02, -1.014962e+03,-1.243e+03, 8.480e+01, 0.000e+00
4.000e-02, -1.014962e+03,-1.237e+03, 8.261e+01, 0.000e+00
5.000e-02, -1.014962e+03,-1.230e+03, 7.979e+01, 0.000e+00
6.000e-02, -1.014962e+03,-1.221e+03, 7.635e+01, 0.000e+00
7.000e-02, -1.014961e+03,-1.210e+03, 7.233e+01, 0.000e+00
8.000e-02, -1.014961e+03,-1.198e+03, 6.781e+01, 0.000e+00
9.000e-02, -1.014961e+03,-1.184e+03, 6.288e+01, 0.000e+00
1.000e-01, -1.014961e+03,-1.170e+03, 5.771e+01, 0.000e+00
1.100e-01, -1.014960e+03,-1.156e+03, 5.247e+01, 0.000e+00
1.200e-01, -1.014960e+03,-1.143e+03, 4.739e+01, 0.000e+00
1.300e-01, -1.014960e+03,-1.130e+03, 4.271e+01, 0.000e+00
1.400e-01, -1.014959e+03,-1.119e+03, 3.864e+01, 0.000e+00
1.500e-01, -1.014959e+03,-1.110e+03, 3.537e+01, 0.000e+00
1.600e-01, -1.014959e+03,-1.104e+03, 3.301e+01, 0.000e+00
1.700e-01, -1.014959e+03,-1.100e+03, 3.159e+01, 0.000e+00
1.800e-01, -1.014959e+03,-1.099e+03, 3.107e+01, 0.000e+00
1.900e-01, -1.014960e+03,-1.099e+03, 3.133e+01, 0.000e+00
2.000e-01, -1.014960e+03,-1.102e+03, 3.223e+01, 0.000e+00
2.100e-01, -1.014960e+03,-1.105e+03, 3.359e+01, 0.000e+00
2.200e-01, -1.014961e+03,-1.110e+03, 3.522e+01, 0.000e+00
2.300e-01, -1.014961e+03,-1.115e+03, 3.697e+01, 0.000e+00
2.400e-01, -1.014961e+03,-1.119e+03, 3.868e+01, 0.000e+00
2.500e-01, -1.014961e+03,-1.123e+03, 4.025e+01, 0.000e+00
2.600e-01, -1.014961e+03,-1.127e+03, 4.159e+01, 0.000e+00
2.700e-01, -1.014961e+03,-1.130e+03, 4.264e+01, 0.000e+00
2.800e-01, -1.014961e+03,-1.132e+03, 4.338e+01, 0.000e+00
2.900e-01, -1.014961e+03,-1.133e+03, 4.381e+01, 0.000e+00
3.000e-01, -1.014961e+03,-1.133e+03, 4.395e+01, 0.000e+00
3.100e-01, -1.014961e+03,-1.133e+03, 4.382e+01, 0.000e+00
3.200e-01, -1.014961e+03,-1.132e+03, 4.349e+01, 0.000e+00
3.300e-01, -1.014961e+03,-1.131e+03, 4.301e+01, 0.000e+00
3.400e-01, -1.014961e+03,-1.129e+03, 4.244e+01, 0.000e+00
3.500e-01, -1.014961e+03,-1.128e+03, 4.185e+01, 0.000e+00
3.600e-01, -1.014960e+03,-1.126e+03, 4.131e+01, 0.000e+00
3.700e-01, -1.014960e+03,-1.125e+03, 4.087e+01, 0.000e+00
3.800e-01, -1.014960e+03,-1.124e+03, 4.058e+01, 0.000e+00
3.900e-01, -1.014960e+03,-1.124e+03, 4.044e+01, 0.000e+00
4.000e-01, -1.014960e+03,-1.124e+03, 4.047e+01, 0.000e+00
4.100e-01, -1.014960e+03,-1.124e+03, 4.063e+01, 0.000e+00
4.200e-01, -1.014961e+03,-1.125e+03, 4.088e+01, 0.000e+00
4.300e-01, -1.014961e+03,-1.126e+03, 4.118e+01, 0.000e+00
4.400e-01, -1.014961e+03,-1.127e+03, 4.146e+01, 0.000e+00
4.500e-01, -1.014961e+03,-1.127e+03, 4.169e+01, 0.000e+00
4.600e-01, -1.014961e+03,-1.128e+03, 4.183e+01, 0.000e+00
4.700e-01, -1.014961e+03,-1.128e+03, 4.187e+01, 0.000e+00
4.800e-01, -1.014961e+03,-1.128e+03, 4.181e+01, 0.000e+00
4.900e-01, -1.014961e+03,-1.127e+03, 4.166e+01, 0.000e+00
5.000e-01, -1.014961e+03,-1.127e+03, 4.144e+01, 0.000e+00
5.100e-01, -1.014961e+03,-1.126e+03, 4.117e+01, 0.000e+00
5.200e-01, -1.014961e+03,-1.125e+03, 4.087e+01, 0.000e+00
5.300e-01, -1.014961e+03,-1.124e+03, 4.056e+01, 0.000e+00
5.400e-01, -1.014961e+03,-1.123e+03, 4.026e+01, 0.000e+00
5.500e-01, -1.014961e+03,-1.123e+03, 3.998e+01, 0.000e+00
5.600e-01, -1.014961e+03,-1.122e+03, 3.973e+01, 0.000e+00
5.700e-01, -1.014961e+03,-1.121e+03, 3.951e+01, 0.000e+00
5.800e-01, -1.014961e+03,-1.121e+03, 3.933e+01, 0.000e+00
5.900e-01, -1.014961e+03,-1.120e+03, 3.917e+01, 0.000e+00
6.000e-01, -1.014961e+03,-1.120e+03, 3.904e+01, 0.000e+00
6.100e-01, -1.014961e+03,-1.120e+03, 3.891e+01, 0.000e+00
6.200e-01, -1.014961e+03,-1.119e+03, 3.878e+01, 0.000e+00
6.300e-01, -1.014961e+03,-1.119e+03, 3.865e+01, 0.000e+00
6.400e-01, -1.014961e+03,-1.119e+03, 3.854e+01, 0.000e+00
6.500e-01, -1.014960e+03,-1.118e+03, 3.843e+01, 0.000e+00
6.600e-01, -1.014960e+03,-1.118e+03, 3.835e+01, 0.000e+00
6.700e-01, -1.014960e+03,-1.118e+03, 3.831e+01, 0.000e+00
6.800e-01, -1.014960e+03,-1.118e+03, 3.831e+01, 0.000e+00
6.900e-01, -1.014960e+03,-1.118e+03, 3.836e+01, 0.000e+00
7.000e-01, -1.014960e+03,-1.118e+03, 3.845e+01, 0.000e+00
7.100e-01, -1.014960e+03,-1.119e+03, 3.859e+01, 0.000e+00
7.200e-01, -1.014960e+03,-1.119e+03, 3.875e+01, 0.000e+00
7.300e-01, -1.014961e+03,-1.120e+03, 3.892e+01, 0.000e+00
7.400e-01, -1.014961e+03,-1.120e+03, 3.909e+01, 0.000e+00
7.500e-01, -1.014961e+03,-1.121e+03, 3.923e+01, 0.000e+00
7.600e-01, -1.014961e+03,-1.121e+03, 3.934e+01, 0.000e+00
7.700e-01, -1.014961e+03,-1.121e+03, 3.940e+01, 0.000e+00
7.800e-01, -1.014961e+03,-1.121e+03, 3.943e+01, 0.000e+00
7.900e-01, -1.014961e+03,-1.121e+03, 3.943e+01, 0.000e+00
8.000e-01, -1.014960e+03,-1.121e+03, 3.940e+01, 0.000e+00
8.100e-01, -1.014960e+03,-1.121e+03, 3.937e+01, 0.000e+00
8.200e-01, -1.014960e+03,-1.121e+03, 3.936e+01, 0.000e+00
8.300e-01, -1.014960e+03,-1.121e+03, 3.936e+01, 0.000e+00
8.400e-01, -1.014960e+03,-1.121e+03, 3.939e+01, 0.000e+00
8.500e-01, -1.014960e+03,-1.121e+03, 3.943e+01, 0.000e+00
8.600e-01, -1.014960e+03,-1.121e+03, 3.947e+01, 0.000e+00
8.700e-01, -1.014961e+03,-1.121e+03, 3.950e+01, 0.000e+00
8.800e-01, -1.014961e+03,-1.121e+03, 3.949e+01, 0.000e+00
